address,price,bed,bath,floorArea,propertyTape
"Spring Haven, Carrowkeel, Strandhill, Kilmacowen, F91K682",690000.0,4 Bed, 5 Bath, 353 m², Detached
"24 Coill Dara, Ballina Rd, Tubbercurry, Co. Sligo, F91P2V1",175000.0,3 Bed, 3 Bath, 110 m², Semi-D
"29 The Lodge, Castledargan, Ballygawley, Co. Sligo, F91D2T9",380000.0,4 Bed, 3 Bath, 161 m², Detached
"9 Owenmore Paddock, Ballinacarrow, Co. Sligo, F56TK46",160000.0,3 Bed, 3 Bath, 89 m², Terrace
"FÓN ZONE, Teeling Street, Ballymote, Co. Sligo, F56DD36",159000.0,0,0,0,0
"12A Meadow Brook, Mountain Road, Tubbercurry, Co. Sligo, F91C6D5",175000.0,4 Bed, 3 Bath, 112 m², Semi-D
"Kilfree, Gurteen, Co. Sligo, F56Y510",240000.0,2 Bed, 2 Bath, 116 m², Detached
"Rathglass, Enniscrone, Co. Sligo, F26KC84",425000.0,0,0,0,0
"1 Green Road, Coolaney, Co. Sligo, F56W704",180000.0,3 Bed, 3 Bath, 111 m², End of Terrace
"1 Rathanna, Cornegeeha, Sligo, Sligo, Co. Sligo, F91KPP9",359000.0,4 Bed, 2 Bath, 143 m², Detached
"The Harbour Bar, Pullaheeney, Rathlee, Easkey, Co. Sligo, F26EH36",350000.0,3 Bed, 2 Bath, 271 m², Detached
"Aghagad, Grange, Co. Sligo, F91EH04",695000.0,5 Bed, 3 Bath, 279 m², Bungalow
"17 The Wave, Ocean Links, Strandhill, Co. Sligo, F91E6X3",590000.0,5 Bed, 3 Bath, 176 m², Detached
"Charlestown, Bellaghy, Bellaghy, Co. Sligo, F12T2V8",150000.0,0,0,0,0
"1 Dominick Street & 1 Church Street, Sligo, F91YY6T",250000.0,0,0,0,0
"75 Woodstream, Coolaney, Co. Sligo, F56TK22",160000.0,2 Bed, 1 Bath, 91 m², End of Terrace
"The Granary & Outbuildings, On 16.5 Acres Of Land, Glen Road, Knocknarea, F91A2N8",995000.0,0,0,0,0
"43 Granary Drive, Grange, Co. Sligo, F91EY37",270000.0,0,0,0,0
"Toomour, Keash, Ballymote, Co. Sligo, F56X773",75000.0,2 Bed, 1 Bath, 58 m², Detached
"Ballincar, F91PC56",550000.0,5 Bed, 3 Bath, 285 m², Detached
"72 Fairways, Ballymote Road, Tubbercurry, Co. Sligo, F91X5Y9",195000.0,4 Bed, 3 Bath, 107 m², Terrace
"Colgagh, Calry, Co. Sligo, F91TK79",250000.0,4 Bed, 1 Bath, 140 m², Detached
"Tawnagh, Culfadda, Co. Sligo",69950.0,0,0,0,0
"Carrowmtemple, Gurteen, Co. Sligo",65000.0,0,0,0,0
"Creggconnell, Rosses Point, Co. Sligo",,0,0,0,0
"Flowerhill, Bunninadden, Bunnanadden, Co. Sligo",140000.0,0,0,0,0
"25 Holborn Street, Sligo, Co. Sligo, F91PX0H",100000.0,2 Bed, 1 Bath, 55 m², Terrace
"Cabragh, Geevagh, Co. Sligo",50000.0,1 Bed, 1 Bath, 50 m², Detached
"Munninane, Grange, Co. Sligo, F91K1K8",399000.0,4 Bed, 3 Bath, 261 m², Detached
